date_New,username,name,tweet,text_compound,text_pos,text_neu,text_neg,text_sent
2022-03-02,elonmusk,Elon Musk,dogesuppporteam CarlosS JoeBiden McDonalds,0.0,0.0,1.0,0.0,0
2022-02-21,elonmusk,Elon Musk,martiandoge SteveofRivia almenese SawyerMerritt That would great,0.6249,0.406,0.594,0.0,1
2022-01-27,elonmusk,Elon Musk,dogeofficialceo EvaFoxU POTUS ,0.0,0.0,1.0,0.0,0
2022-01-25,elonmusk,Elon Musk,I eat happy meal tv McDonalds accepts Dogecoin,0.7184,0.545,0.455,0.0,1
2022-01-20,elonmusk,Elon Musk,blueskykites Grimezsz WholeMarsBlog SpaceXMR muskymeme CovelloMassimo SpaceX Kristennetten EliBurton Erdayastronaut delayslater TeslaAndDoge bevedoni TeslaHype OwenSparks RationalEtienne Its true  I think lot rocket engine chamber pressure ahaha,0.1531,0.1,0.821,0.079,1
2022-01-14,elonmusk,Elon Musk,Tesla merch buyable Dogecoin,0.0,0.0,1.0,0.0,0
2022-03-02,elonmusk,Elon Musk,dogesuppporteam CarlosS JoeBiden McDonalds,0.0,0.0,1.0,0.0,0
2022-02-21,elonmusk,Elon Musk,martiandoge SteveofRivia almenese SawyerMerritt That would great,0.6249,0.406,0.594,0.0,1
2022-01-27,elonmusk,Elon Musk,dogeofficialceo EvaFoxU POTUS ,0.0,0.0,1.0,0.0,0
2022-01-25,elonmusk,Elon Musk,I eat happy meal tv McDonalds accepts Dogecoin,0.7184,0.545,0.455,0.0,1
2022-01-20,elonmusk,Elon Musk,blueskykites Grimezsz WholeMarsBlog SpaceXMR muskymeme CovelloMassimo SpaceX Kristennetten EliBurton Erdayastronaut delayslater TeslaAndDoge bevedoni TeslaHype OwenSparks RationalEtienne Its true  I think lot rocket engine chamber pressure ahaha,0.1531,0.1,0.821,0.079,1
2022-01-14,elonmusk,Elon Musk,Tesla merch buyable Dogecoin,0.0,0.0,1.0,0.0,0
2021-12-23,elonmusk,Elon Musk,BillyMk jack gladstein rahilla farokh samkazemian TheSmarmyBum ethereum Thats Im pro Doge,0.0,0.0,1.0,0.0,0
2021-12-14,elonmusk,Elon Musk,Tesla make merch buyable Doge amp see goes,0.0,0.0,1.0,0.0,0
2021-12-13,elonmusk,Elon Musk,DOGEHOUNDS HardcoreHistory Overall kill ratio but kill ratio against Zero,-0.886,0.0,0.46,0.54,-1
2021-12-10,elonmusk,Elon Musk,GailAlfarATX SawyerMerritt dogecoin Imbued goldbronze color would sick,-0.5106,0.0,0.68,0.32,-1
2021-11-26,elonmusk,Elon Musk,GailAlfarATX SpaceX RGVaerialphotos cnunezimages kanyewest SciGuySpace Erdayastronaut dogecoin BillyMk austinbarnard NASA Absolutely,0.0,0.0,1.0,0.0,0
2021-11-25,elonmusk,Elon Musk,BillyMk WSBChairman joannabanananaa dogeofficialceo GailAlfarATX Kristennetten gre StonksReddit mishaboar DogecoinNorway suchHODL ,0.0,0.0,1.0,0.0,0
2021-11-23,elonmusk,Elon Musk,czbinance CoinDesk binance egreechee I dont use Binance tried one point but signup many hoops jump through no inconvenience personally Just raising issue behalf Doge holders,-0.7227,0.0,0.792,0.208,-1
2021-11-23,elonmusk,Elon Musk,binance CoinDesk egreechee czbinance Doge holders using Binance protected errors not fault,0.4133,0.312,0.544,0.145,1
2021-11-23,elonmusk,Elon Musk,CoinDesk binance egreechee Hey czbinance whats going Doge customers Sounds shady,0.0,0.0,1.0,0.0,0
2021-11-15,elonmusk,Elon Musk,dogeofficialceo daelmor SenSanders Regretamine its like tax regrets,0.0,0.227,0.545,0.227,0
2021-11-05,elonmusk,Elon Musk,dogeofficialceo BillyMk ,0.0,0.0,1.0,0.0,0
2021-11-03,elonmusk,Elon Musk,BillyMk How lil doge Floki He would make great CEO His judgment ,0.6249,0.272,0.728,0.0,1
2021-11-01,elonmusk,Elon Musk,dogeofficialceo Forbes ,0.0,0.0,1.0,0.0,0
2021-10-31,elonmusk,Elon Musk,Tuition Dogecoin amp u get discount u dog,0.0,0.0,1.0,0.0,0
2021-10-28,elonmusk,Elon Musk,dogeofficialceo wapodavenport ,0.0,0.0,1.0,0.0,0
2021-10-27,elonmusk,Elon Musk,BillyMk If I send  Doge promise send Doge,0.3182,0.277,0.723,0.0,1
2021-10-24,elonmusk,Elon Musk,ProTheDoge Lots people I talked production lines Tesla building rockets SpaceX Doge They arent financial experts Silicon Valley technologists Thats I decided support Doge  felt like peoples crypto,0.6369,0.178,0.822,0.0,1
2021-10-24,elonmusk,Elon Musk,Filasophical ShibaInuHodler Out curiosity I acquired ascii hash strings called Bitcoin Ethereum amp Doge Thats it As Ive said before dont bet farm crypto True value building products amp providing services fellow human beings not money form,0.6369,0.133,0.867,0.0,1
2021-10-24,elonmusk,Elon Musk,BillyMk TeslaGong mishaboar DogecoinFdn ,0.0,0.0,1.0,0.0,0
2021-10-24,elonmusk,Elon Musk,itsALLrisky TeslaGong mishaboar DogecoinFdn Possibly Bitcoin conceived time relatively low bandwidth amp high latency If continue improve substantially reach point no second layer needed,-0.0697,0.149,0.693,0.158,-1
2021-10-24,elonmusk,Elon Musk,TeslaGong mishaboar DogecoinFdn Not recently What matters imo lowering fees decreasing block time amp increasing block size A single layer network exchanges de facto layer  seems like simplest solution medium exchange,-0.4721,0.127,0.637,0.236,-1
2021-10-24,elonmusk,Elon Musk,mishaboar DogecoinFdn Neither Jared nor me nor anyone I know anything foundation,0.0,0.0,1.0,0.0,0
2021-10-22,elonmusk,Elon Musk,UberFacts In Dogecoin,0.0,0.0,1.0,0.0,0
2021-09-29,elonmusk,Elon Musk,NewFolderF dogeofficialceo BillyMk ,0.0,0.0,1.0,0.0,0
2021-09-23,elonmusk,Elon Musk,BillyMk Super important Doge fees drop make things like buying movie tix viable,0.7269,0.425,0.466,0.109,1
2021-09-13,elonmusk,Elon Musk,Dogeshade Deep,0.0,0.0,1.0,0.0,0
2021-09-13,elonmusk,Elon Musk,dogeofficialceo WholeMarsBlog POTUS ,0.0,0.0,1.0,0.0,0
2021-09-13,elonmusk,Elon Musk,SirWoofOfDoge WholeMarsBlog ,0.0,0.0,1.0,0.0,0
2021-09-02,elonmusk,Elon Musk,dogecoindevs Good progress Applying information theory currency which information lower fees reduce noise amp faster amp consistent sync time improve latency amp jitter,0.7506,0.289,0.638,0.074,1
2021-08-30,elonmusk,Elon Musk,TDogewhisperer Important,0.2023,0.643,0.357,0.0,1
2021-08-24,elonmusk,Elon Musk,OptimoPrincipi Ancient Doges,0.0,0.0,1.0,0.0,0
2021-08-01,elonmusk,Elon Musk,dogesouthern truthtesla ConsumerReports They,0.0,0.0,1.0,0.0,0
2021-07-31,elonmusk,Elon Musk,dogesouthern markgurman timcook Yeah Liftoff solid,0.4215,0.487,0.513,0.0,1
2021-07-17,elonmusk,Elon Musk,AshleyIllusio lexfridman Lil X hodling Doge like champ Literally never said word sell even once,0.6808,0.318,0.682,0.0,1
2021-07-14,elonmusk,Elon Musk,dogesouthern SamTwits TeslaOwnersEBay Kristennetten RationalEtienne EvaFoxU JohnnaCride TeslaChillMode CodingMark ModelOwners WholeMarsBlog AustinTeslaClub Next baby girl,0.0,0.0,1.0,0.0,0
2021-07-14,elonmusk,Elon Musk,dogesouthern SamTwits TeslaOwnersEBay Kristennetten RationalEtienne EvaFoxU JohnnaCride TeslaChillMode CodingMark ModelOwners WholeMarsBlog AustinTeslaClub Me too,0.0,0.0,1.0,0.0,0
2021-07-13,elonmusk,Elon Musk,dogeofficialceo ,0.0,0.0,1.0,0.0,0
2021-07-13,elonmusk,Elon Musk,CGDaveMac Maybe sees Shiba Inu car renders Dogecoin ,0.0,0.0,1.0,0.0,0
2021-07-09,elonmusk,Elon Musk,MattWallace BTC amp ETH pursuing multilayer transaction system but base layer transaction rate slow amp transaction cost high There merit imo Doge maximizing base layer transaction rate amp minimizing transaction cost exchanges acting de facto secondary layer,0.5719,0.093,0.907,0.0,1
2021-07-09,elonmusk,Elon Musk,dogeofficialceo newscientist Kinda true,0.3626,0.455,0.545,0.0,1
2021-07-09,elonmusk,Elon Musk,dogeofficialceo newscientist ,0.0,0.0,1.0,0.0,0
2021-07-02,elonmusk,Elon Musk,RenataKonkoly thesheetztweetz rookisaacman johnkrausphotos wapodavenport blueorigin But I pay Doge,-0.1531,0.0,0.833,0.167,-1
2021-07-01,elonmusk,Elon Musk,Baby Doge doo doo doo doo doo Baby Doge doo doo doo doo doo Baby Doge doo doo doo doo doo Baby Doge,0.0,0.0,1.0,0.0,0
2021-07-01,elonmusk,Elon Musk,Release Doge httpstcobXCWQLIhu,0.0,0.0,1.0,0.0,0
2021-07-01,elonmusk,Elon Musk,dogeofficialceo torybruno ChadBowman thesheetztweetz Yeah but dogz rl,0.1531,0.186,0.814,0.0,1
2021-06-25,elonmusk,Elon Musk,DogecoinRise Starship Super Heavy,0.5994,0.565,0.435,0.0,1
2021-06-25,elonmusk,Elon Musk,hiddinurleft ItsDogeCoin InvestmentsCEO MemeInvestors Dogecoinxx gre blockfolio dogeofficialceo DogeEducation DogecoinTweet gravitas,0.0,0.0,1.0,0.0,0
2021-06-10,elonmusk,Elon Musk,dogeofficialceo MattWallace Now I made improvements Im pretty sure its worth k haha,0.8934,0.679,0.321,0.0,1
2021-06-05,elonmusk,Elon Musk,lexfridman VitalikButerin ethereum Bitcoin dogecoin ShibainuCoin IOHKCharles Cardano chainlink xPolygon I pretty much agree Vitalik,0.6908,0.322,0.678,0.0,1
2021-06-04,elonmusk,Elon Musk,ItsDogeCoin RTHowell Haf yu sin mi danz,-0.5574,0.0,0.625,0.375,-1
2021-06-02,elonmusk,Elon Musk,dogeofficialceo SouthPark When I visit Japan later year,0.0,0.0,1.0,0.0,0
2021-05-31,elonmusk,Elon Musk,hiddinurleft gre blockfolio BillyMk itsALLrisky GloryDoge DogecoinRise ItsDogeCoin DogeEducation InvestmentsCEO ,0.0,0.0,1.0,0.0,0
2021-05-28,elonmusk,Elon Musk,TDogewhisperer spair itsALLrisky mcuban ,0.0,0.0,1.0,0.0,0
2021-05-26,elonmusk,Elon Musk,itsALLrisky Please note Dogecoin no formal organization amp no one reports me ability take action limited,-0.1779,0.21,0.502,0.288,-1
2021-05-25,elonmusk,Elon Musk,heydave dogecoindevs Doge dogs amp memes whereas others not,0.0,0.0,1.0,0.0,0
2021-05-25,elonmusk,Elon Musk,Someone suggested changing Dogecoin fees based phases moon pretty awesome haha,0.8834,0.563,0.437,0.0,1
2021-05-24,elonmusk,Elon Musk,If youd like help develop Doge please submit ideas GitHub amp httpstcoliAPQMFaQB dogecoindevs,0.7579,0.429,0.571,0.0,1
2021-05-23,elonmusk,Elon Musk,flcnhvy thatdogegirl WhatsupFranks TeslaGong Becoming multiplanetary one greatest filters Only now  billion years Earth formed possible How long window reach Mars remains open uncertain Perhaps long time perhaps not In case latter act now,0.4767,0.138,0.805,0.057,1
2021-05-20,elonmusk,Elon Musk,heydave Yeah I havent amp wont sell Doge,0.296,0.268,0.732,0.0,1
2021-05-20,elonmusk,Elon Musk,heydave A longtime Tesla supporter gave Doge dollar sticker Giga Berlin,0.2732,0.189,0.811,0.0,1
2021-05-20,elonmusk,Elon Musk,thatdogegirl WhatsupFranks TeslaGong Worth reading,0.2263,0.322,0.678,0.0,1
2021-05-20,elonmusk,Elon Musk,xSharknado DogecoinRise TeslaGong ,0.0,0.0,1.0,0.0,0
2021-05-20,elonmusk,Elon Musk,DogecoinRise TeslaGong Es wurde mir deutschland gegeben,0.0,0.0,1.0,0.0,0
2021-05-20,elonmusk,Elon Musk,How much Doge window httpstcobxTkWOrV,0.0,0.0,1.0,0.0,0
2021-05-16,elonmusk,Elon Musk,PeterMcCormack Obnoxious threads like make want go Doge,-0.0516,0.322,0.424,0.254,-1
2021-05-16,elonmusk,Elon Musk,longelon itsALLrisky Only Doge cant it Big pain neck create another one,0.5862,0.324,0.676,0.0,1
2021-05-16,elonmusk,Elon Musk,itsALLrisky Ideally Doge speeds block timeX increases block sizeX amp drops feeX Then wins hands down,0.1779,0.267,0.494,0.239,1
2021-05-14,elonmusk,Elon Musk,Working Doge devs improve system transaction efficiency Potentially promising,0.7964,0.574,0.426,0.0,1
2021-05-11,elonmusk,Elon Musk,Do want Tesla accept Doge,0.4404,0.565,0.435,0.0,1
2021-05-10,elonmusk,Elon Musk,SpaceX launching satellite Dog moon next year  Mission paid Doge st crypto space st meme space To mooooonnn httpstcoxXfjGZVeUW,0.0,0.0,1.0,0.0,0
2021-04-28,elonmusk,Elon Musk,The Dogefather SNL May ,0.0,0.0,1.0,0.0,0
2021-04-16,elonmusk,Elon Musk,sadiaslayy DogecoinBets ,0.0,0.0,1.0,0.0,0
2021-04-15,elonmusk,Elon Musk,Doge Barking Moon httpstcoQFBDzOL,0.0,0.0,1.0,0.0,0
2021-04-15,elonmusk,Elon Musk,WSBChairman Doge Barking Moon  Miro httpstcvTMXOusy,0.0,0.0,1.0,0.0,0
2021-04-15,elonmusk,Elon Musk,AstroJordy dogeofficialceo FBlock Insanely cute,0.4588,0.429,0.571,0.0,1
2021-04-15,elonmusk,Elon Musk,dogeofficialceo FBlock ,0.0,0.0,1.0,0.0,0
2021-04-09,elonmusk,Elon Musk,dogeofficialceo WatchersTank SpaceX Looking pups soon,0.0,0.0,1.0,0.0,0
2021-04-01,elonmusk,Elon Musk,SpaceX going put literal Dogecoin literal moon,0.0,0.0,1.0,0.0,0
2021-03-25,elonmusk,Elon Musk,dogecoinww MattWallace CorinnaKopf You raise good point haha,0.7096,0.496,0.504,0.0,1
2021-03-19,elonmusk,Elon Musk,lexfridman Sometimes its Doge,0.0,0.0,1.0,0.0,0
2021-03-16,elonmusk,Elon Musk,beeple M Doge,0.0,0.0,1.0,0.0,0
2021-03-14,elonmusk,Elon Musk,Why dogematic ask,0.0,0.0,1.0,0.0,0
2021-03-14,elonmusk,Elon Musk,Origin Doge Day Afternoon The ancient Romans sacrificed Dogecoin beginning Doge Days appease rage Sirius believing star cause hot sultry weather,-0.3612,0.085,0.769,0.146,-1
2021-03-14,elonmusk,Elon Musk,Doge day afternoon,0.0,0.0,1.0,0.0,0
2021-03-06,elonmusk,Elon Musk,Doge spelled backwards Egod,0.0,0.0,1.0,0.0,0
2021-03-03,elonmusk,Elon Musk,WootiezTV Very much amp leader shall The Doge httpstcoVXmuWcy,0.0,0.0,1.0,0.0,0
2021-03-02,elonmusk,Elon Musk,draecomino  Dogecoin dumb,-0.5106,0.0,0.377,0.623,-1
2021-03-01,elonmusk,Elon Musk,Doge meme shield legendary item httpstcoCeomUqc,0.0,0.0,1.0,0.0,0
2021-02-22,elonmusk,Elon Musk,Dojo  Doge,0.0,0.0,1.0,0.0,0
2021-02-20,elonmusk,Elon Musk,PPathole dogecoin Just used Antminer L rigs bought off eBay Not really economic but fun family project,0.7046,0.244,0.756,0.0,1
2021-02-20,elonmusk,Elon Musk,dogecoin I set little Doge mining rigs kids It fun,0.5106,0.292,0.708,0.0,1
2021-02-15,elonmusk,Elon Musk,RationalEtienne An acceptable percentage Doge much concentrated,0.3182,0.277,0.723,0.0,1
2021-02-15,elonmusk,Elon Musk,If major Dogecoin holders sell coins get full support Too much concentration real issue imo,0.4019,0.162,0.838,0.0,1
2021-02-12,elonmusk,Elon Musk,gtera Doge underestimated,-0.2732,0.0,0.488,0.512,-1
2021-02-11,elonmusk,Elon Musk,Frodo underdoge All thought would fail Himself all httpstcozGxJFDzzrM,-0.5423,0.0,0.696,0.304,-1
2021-02-10,elonmusk,Elon Musk,Bought Dogecoin lil X toddler hodler,0.0,0.0,1.0,0.0,0
2021-02-08,elonmusk,Elon Musk,itsALLrisky Doge appears inflationary but not meaningfully fixed  coins per unit time whereas BTC arguably deflationary fault Transaction speed Doge ideally orders magnitude faster,-0.3291,0.12,0.683,0.197,-1
2021-02-08,elonmusk,Elon Musk, Who let Doge ,0.0,0.0,1.0,0.0,0
2021-02-07,elonmusk,Elon Musk,Jbuttermost Dogecoinrich ,0.0,0.0,1.0,0.0,0
