date_New,close,Volume DOGE,username,name,tweet,text_compound,text_pos,text_neu,text_neg,text_sent
2021-04-28,-0.13865668432967004,91871315.0,elonmusk,Elon Musk,The Dogefather SNL May ,0.0,0.0,1.0,0.0,0.0
2021-05-10,0.23282141348274332,435315368.0,elonmusk,Elon Musk,SpaceX launching satellite Do moon next year  Mission paid Doge st crypto space st meme space To mooooonnn httpstcoxXfjGZVeUW,0.0,0.0,1.0,0.0,0.0
2021-05-11,-0.08311395947837019,479943549.0,elonmusk,Elon Musk,Do want Tesla accept Doge,0.4404,0.565,0.435,0.0,1.0
2021-05-14,-0.12591441111923918,631050524.0,elonmusk,Elon Musk,Working Doge devs improve system transaction efficiency Potentially promising,0.7964,0.574,0.426,0.0,1.0
2021-05-16,0.026943586865001423,172663476.0,elonmusk,Elon Musk,PeterMcCormack Obnoxious threads like make want go Doge,-0.0516,0.322,0.424,0.254,-1.0
2021-05-16,0.026943586865001423,172663476.0,elonmusk,Elon Musk,longelon itsALLrisky Only Doge cant Big pain neck create another one,0.5862,0.348,0.652,0.0,1.0
2021-05-16,0.026943586865001423,172663476.0,elonmusk,Elon Musk,itsALLrisky Ideally Doge speeds block timX increases block sizX amp drops feX Then wins hands,0.1779,0.279,0.472,0.249,1.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,heydave Yeah I havent amp wont sell Doge,0.296,0.268,0.732,0.0,1.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,heydave A longtime Tesla supporter gave Doge dollar sticker Giga Berlin,0.2732,0.189,0.811,0.0,1.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,thatdogegirl WhatsupFranks TeslaGong Worth reading,0.2263,0.322,0.678,0.0,1.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,xSharknado DogecoinRise TeslaGong ,0.0,0.0,1.0,0.0,0.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,DogecoinRise TeslaGong Es wurde mir deutschland gegeben,0.0,0.0,1.0,0.0,0.0
2021-05-20,-0.2478526413120179,568625782.0,elonmusk,Elon Musk,How much Doge window httpstcobxTkWOrV,0.0,0.0,1.0,0.0,0.0
2021-05-23,0.13523512803037674,164402884.0,elonmusk,Elon Musk,flcnhvy thatdogegirl WhatsupFranks TeslaGong Becoming multiplanetary one greatest filters Only  billion years Earth formed possible How long window reach Mars remains open uncertain Perhaps long time perhaps not In case latter act,0.4767,0.145,0.795,0.06,1.0
2021-05-24,-0.17135941912061314,198980676.0,elonmusk,Elon Musk,If youd like help develop Doge please submit ideas GitHub amp httpstcoliAPQMFaQB dogecoindevs,0.7579,0.429,0.571,0.0,1.0
2021-05-25,0.08436369998833548,261432378.0,elonmusk,Elon Musk,heydave dogecoindevs Doge dogs amp memes whereas others not,0.0,0.0,1.0,0.0,0.0
2021-05-25,0.08436369998833548,261432378.0,elonmusk,Elon Musk,Someone suggested changing Dogecoin fees based phases moon pretty awesome haha,0.8834,0.563,0.437,0.0,1.0
2021-05-26,-0.0058272693010176235,116850719.0,elonmusk,Elon Musk,itsALLrisky Please note Dogecoin no formal organization amp no one reports ability take action limited,-0.1779,0.22,0.478,0.301,-1.0
2021-05-28,0.04465902232951113,138430125.0,elonmusk,Elon Musk,TDogewhisperer spair itsALLrisky mcuban ,0.0,0.0,1.0,0.0,0.0
2021-05-31,-0.08692214111922136,129895904.0,elonmusk,Elon Musk,hiddinurleft gr blockfolio BillyMk itsALLrisky GloryDoge DogecoinRise ItsDogeCoin DogeEducation InvestmentsCEO ,0.0,0.0,1.0,0.0,0.0
2021-06-02,-0.13758848230353926,423588020.6,elonmusk,Elon Musk,dogeofficialceo SouthPark When I visit Japan later year,0.0,0.0,1.0,0.0,0.0
2021-06-04,0.004351542466392022,145809653.5,elonmusk,Elon Musk,ItsDogeCoin RTHowell Haf yu sin mi danz,-0.5574,0.0,0.625,0.375,-1.0
