bars,symbol,next_page_token
"{'t': '2017-01-03T09:00:00Z', 'o': 224.8, 'h': 224.83, 'l': 224.3, 'c': 224.83, 'v': 4960, 'n': 30, 'vw': 224.764929}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:01:00Z', 'o': 224.83, 'h': 224.83, 'l': 224.6, 'c': 224.6, 'v': 5976, 'n': 6, 'vw': 224.764839}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:02:00Z', 'o': 224.77, 'h': 224.77, 'l': 224.77, 'c': 224.77, 'v': 1994, 'n': 4, 'vw': 224.77}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:03:00Z', 'o': 224.77, 'h': 224.77, 'l': 224.77, 'c': 224.77, 'v': 110, 'n': 1, 'vw': 224.77}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:05:00Z', 'o': 224.77, 'h': 224.77, 'l': 224.77, 'c': 224.77, 'v': 7500, 'n': 5, 'vw': 224.77}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:06:00Z', 'o': 224.79, 'h': 224.8, 'l': 224.79, 'c': 224.8, 'v': 1100, 'n': 4, 'vw': 224.791818}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:10:00Z', 'o': 224.77, 'h': 224.83, 'l': 224.77, 'c': 224.83, 'v': 1300, 'n': 3, 'vw': 224.818462}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:11:00Z', 'o': 224.82, 'h': 224.82, 'l': 224.76, 'c': 224.76, 'v': 5320, 'n': 9, 'vw': 224.799662}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:12:00Z', 'o': 224.8, 'h': 224.8, 'l': 224.8, 'c': 224.8, 'v': 1280, 'n': 4, 'vw': 224.8}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
"{'t': '2017-01-03T09:13:00Z', 'o': 224.81, 'h': 224.81, 'l': 224.81, 'c': 224.81, 'v': 100, 'n': 1, 'vw': 224.81}",SPY,U1BZfE18MjAxNy0wMS0wNFQxNTo0MDowMC4wMDAwMDAwMDBa
